Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-7910.286	-8163.019	252.7328	0.6563367	0.8708894	6.293344
6	-7925.821	-8178.958	253.1374	0.6563367	0.8297113	6.095701
12	-7934.959	-8187.872	252.9122	0.5843308	0.8653531	6.254462
18	-7925.014	-8177.09	252.0768	0.5031664	0.885578	6.764583
24	-7927.855	-8179.295	251.4402	0.6912392	0.9180746	6.941765
30	-7932.105	-8184.608	252.5031	0.6443052	0.791611	6.469927
36	-7927.841	-8180.98	253.1391	0.5808924	0.8777153	6.127106
42	-7923.978	-8177.036	253.0582	0.6356772	0.8797026	6.127106
48	-7929.504	-8181.288	251.7834	0.5318742	0.8568052	6.913385
54	-7931.316	-8184.602	253.286	0.5851659	0.8533823	6.056881
60	-7915.349	-8166.523	251.1737	0.5851659	0.7717405	7.243321
66	-7913.978	-8166.068	252.0903	0.6721247	0.8136372	6.660957
72	-7912.403	-8164.169	251.7657	0.6086857	0.8003296	6.890926
78	-7914.023	-8166.928	252.9044	0.6211171	0.8429629	6.241888
84	-7914.591	-8167.98	253.3897	0.6441222	0.8961044	5.931052
90	-7916.402	-8169.461	253.0595	0.5442379	0.8934056	6.192264
96	-7912.76	-8165.16	252.3998	0.6129385	0.8660238	6.509467
102	-7911.301	-8162.821	251.5193	0.6090376	0.7871137	7.030479
108	-7916.925	-8167.591	250.6665	0.7157433	0.7296709	7.44169
114	-7920.699	-8171.908	251.2086	0.66056	0.7611802	7.172875
120	-7920.14	-8171.115	250.9747	0.6584704	0.7894111	7.284847
126	-7916.709	-8167.869	251.1592	0.5590307	0.7537305	7.281891
132	-7912.364	-8163.348	250.9837	0.5929078	0.7184878	7.36773
138	-7913.773	-8166.39	252.6174	0.6194969	0.7946888	6.425146
144	-7917.879	-8169.639	251.76	0.6634921	0.7943942	6.855947
150	-7929.335	-8181.053	251.7176	0.6634921	0.8368154	6.855947
156	-7920.997	-8170.83	249.8328	0.6355407	0.8322874	7.890075
162	-7923.163	-8173.198	250.0357	0.6509432	0.7234896	7.828458
168	-7918.483	-8170.517	252.0332	0.5979551	0.8249671	6.741658
174	-7918.721	-8170.574	251.8533	0.6542214	0.740129	6.841719
180	-7908.256	-8160.806	252.5508	0.5931422	0.8544284	6.449524
186	-7913.718	-8166.191	252.4723	0.6394932	0.9142299	6.423786
192	-7909.348	-8160.34	250.9928	0.6426664	0.8203774	7.270175
198	-7916.953	-8169.138	252.1847	0.5633612	0.8485279	6.674897
204	-7921.027	-8171.233	250.2055	0.6110848	0.7604105	7.747868
210	-7927.933	-8179.485	251.5519	0.6261749	0.7498419	7.019858
216	-7926.792	-8177.876	251.084	0.6261749	0.8282703	7.229311
222	-7933.746	-8185.342	251.5968	0.582085	0.8534089	6.974261
228	-7931.238	-8182.765	251.5263	0.6639525	0.846955	6.953273
234	-7938.002	-8189.581	251.5796	0.6639525	0.7936031	6.953273
240	-7921.868	-8173.458	251.5899	0.6410155	0.8147065	6.953273
246	-7918.852	-8170.67	251.818	0.6003719	0.832637	6.851774
252	-7932.369	-8184.195	251.8262	0.7397701	0.8287084	6.748238
258	-7923.85	-8175.664	251.8132	0.5877578	0.856433	6.851469
264	-7918.422	-8169.868	251.4457	0.5917521	0.8726817	7.037576
270	-7913.156	-8165.883	252.7268	0.5632969	0.8764506	6.366248
276	-7912.246	-8164.875	252.6289	0.5885412	0.9365771	6.366248
282	-7911.414	-8163.805	252.3906	0.5793946	0.7979946	6.577831
288	-7928.499	-8180.924	252.4252	0.5227673	0.9066884	6.547616
294	-7915.604	-8167.755	252.1508	0.5150485	0.8941708	6.709531
300	-7922.406	-8175.275	252.8696	0.6762689	0.8331297	6.22496
306	-7913.888	-8166.652	252.7639	0.7238455	0.8483531	6.24049
312	-7909.906	-8163.213	253.3067	0.6336751	0.9190399	5.971774
318	-7905.739	-8158.476	252.7374	0.5734068	0.9055769	6.336435
324	-7924.76	-8176.695	251.9343	0.5937523	0.7462656	6.840847
330	-7937.034	-8187.792	250.758	0.6112681	0.7581151	7.453231
336	-7929.328	-8180.434	251.1064	0.5832869	0.7543058	7.290283
342	-7928.103	-8179.295	251.1923	0.5387625	0.7622478	7.276391
348	-7914.505	-8166.395	251.8907	0.6562308	0.7839713	6.796397
354	-7915.533	-8167.417	251.884	0.6458765	0.8048939	6.796397
360	-7917.44	-8169.395	251.9549	0.5867682	0.8229071	6.793887
366	-7936.638	-8187.392	250.7541	0.6368046	0.8414285	7.391332
372	-7946.223	-8196.842	250.6183	0.7101417	0.8303312	7.4174
378	-7930.185	-8181.539	251.3541	0.6353743	0.7526264	7.117837
384	-7924.472	-8176.884	252.4113	0.6541701	0.8116664	6.501445
390	-7926.122	-8178.011	251.8888	0.5901722	0.8718452	6.800476
396	-7927.239	-8177.325	250.0866	0.6723985	0.790983	7.749643
402	-7918.618	-8169.239	250.6215	0.6078753	0.8422829	7.483897
408	-7920.845	-8171.964	251.1186	0.5342851	0.8010266	7.298889
414	-7926.414	-8176.678	250.2639	0.5775332	0.7702202	7.737649
420	-7941.74	-8193.057	251.3178	0.6994369	0.8344878	7.046924
426	-7932.746	-8182.852	250.1065	0.587267	0.7468465	7.826533
432	-7920.249	-8171.757	251.5085	0.6199656	0.8312732	7.004133
438	-7928.163	-8179.71	251.5474	0.6281318	0.7807709	7.004133
444	-7937.591	-8189.04	251.4491	0.6554366	0.8024501	7.025061
450	-7926.599	-8177.333	250.7336	0.6065779	0.7829684	7.456605
456	-7924.866	-8178.219	253.3533	0.6400076	0.8221213	5.994381
462	-7927.907	-8179.337	251.4298	0.5967226	0.7837232	7.090056
468	-7931.766	-8183.823	252.0568	0.4816267	0.891682	6.791519
474	-7917.455	-8169.266	251.8111	0.6431777	0.7699146	6.856609
480	-7924.895	-8176.33	251.435	0.5229912	0.8133127	7.131996
486	-7920.88	-8173.02	252.1405	0.6146074	0.8111485	6.678186
492	-7919.412	-8170.646	251.2341	0.6390149	0.8301047	7.138001
498	-7915.37	-8167.327	251.9575	0.5807943	0.7842999	6.818113
504	-7913.846	-8165.569	251.7232	0.5807943	0.7617902	6.956575
510	-7939.321	-8189.827	250.5062	0.6233986	0.7862619	7.563807
516	-7934.503	-8184.756	250.2534	0.6233986	0.7681101	7.708761
522	-7934.862	-8185.538	250.6757	0.625122	0.8104156	7.458752
528	-7929.445	-8181.46	252.0152	0.4854202	0.8104156	6.854334
534	-7939.761	-8191.761	252.0002	0.638527	0.8791218	6.699039
540	-7933.541	-8184.387	250.8453	0.6134643	0.9026743	7.327189
546	-7920.918	-8173.144	252.2268	0.6208977	0.8657391	6.597171
552	-7926.795	-8178.809	252.0142	0.6434581	0.8530544	6.701847
558	-7928.212	-8181.581	253.3686	0.5478045	0.9228236	6.004867
564	-7924.387	-8178.517	254.1292	0.5761226	0.9092451	5.572404
570	-7920.109	-8173.192	253.0834	0.6157248	0.8865471	6.124976
576	-7926.037	-8177.813	251.7762	0.5478867	0.7773417	6.946564
582	-7937.572	-8189.557	251.9846	0.6124391	0.8563297	6.739662
588	-7935.131	-8187.388	252.257	0.6704072	0.7595771	6.601296
594	-7926.502	-8179.38	252.8779	0.6286807	0.8278247	6.258725
600	-7930.389	-8182.097	251.7076	0.5979463	0.804369	6.928449
606	-7919.972	-8171.894	251.9212	0.5994575	0.8276585	6.799489
612	-7920.584	-8172.769	252.185	0.5283057	0.8441099	6.706611
618	-7927.786	-8180.459	252.6737	0.6636257	0.8441099	6.334647
624	-7925.291	-8178.037	252.7458	0.5411998	0.9497464	6.334647
630	-7925.447	-8178.262	252.8149	0.5539878	0.8608531	6.334647
636	-7920.457	-8172.707	252.25	0.6217121	0.7863225	6.626924
642	-7925.246	-8177.086	251.8395	0.5708503	0.8705472	6.843291
648	-7931.014	-8182.241	251.2268	0.6250434	0.7967399	7.170369
654	-7925.229	-8177.982	252.7529	0.5971596	0.7631014	6.386269
660	-7931.89	-8184.399	252.5084	0.5725617	0.7989158	6.519098
666	-7927.933	-8179.997	252.064	0.5874587	0.7911296	6.751617
672	-7924.793	-8176.127	251.3345	0.6470374	0.8252519	7.080636
678	-7908.942	-8161.163	252.2209	0.6659863	0.8618612	6.568695
684	-7915.663	-8167.187	251.5243	0.6271935	0.8092937	7.001943
690	-7917.296	-8168.992	251.6956	0.5669069	0.7259875	7.001943
696	-7920.384	-8171.41	251.0251	0.67225	0.7506908	7.268591
702	-7922.836	-8173.888	251.0521	0.67225	0.7236718	7.268591
708	-7929.974	-8180.172	250.1983	0.6480214	0.6533198	7.781202
714	-7929.436	-8180.145	250.7096	0.6480214	0.7333667	7.464759
720	-7921.766	-8173.034	251.2672	0.6615541	0.7430453	7.150393
726	-7911.779	-8163.372	251.5924	0.6294107	0.8198091	6.957937
732	-7911.734	-8163.305	251.5714	0.6563063	0.803593	6.957937
738	-7919.307	-8170.775	251.468	0.6500754	0.8375829	6.999881
744	-7926.082	-8178.291	252.2088	0.6443145	0.791764	6.629173
750	-7929.433	-8182.431	252.9985	0.6443145	0.9317475	6.124769
756	-7922.156	-8175.427	253.2712	0.6358205	0.8970499	6.001463
762	-7924.605	-8177.645	253.0397	0.7533975	0.9091122	6.03715
768	-7918.627	-8171.351	252.7244	0.7499464	0.8287628	6.254772
774	-7930.168	-8182.984	252.8157	0.5753715	0.7787425	6.361146
780	-7935.102	-8186.732	251.6301	0.5993812	0.8301353	6.955157
786	-7920.581	-8171.983	251.4025	0.6094895	0.8271079	7.071492
792	-7922.031	-8175.043	253.0123	0.5914928	0.8575842	6.198551
798	-7912.857	-8165.216	252.3593	0.5755576	0.84295	6.573562
804	-7939.073	-8190.543	251.4701	0.6698954	0.8203227	6.993596
810	-7932.414	-8183.19	250.7758	0.7497759	0.7115354	7.369843
816	-7905.288	-8156.412	251.1241	0.7132411	0.8180885	7.150322
822	-7911.55	-8162.009	250.4591	0.6217877	0.7027629	7.634886
828	-7900.643	-8152.185	251.5415	0.6217877	0.8524278	6.973544
834	-7919.066	-8170.701	251.6351	0.6217877	0.7588651	6.973544
840	-7918.516	-8169.721	251.2053	0.6157604	0.7757019	7.200318
846	-7937.084	-8188.237	251.1521	0.6469054	0.7852553	7.200318
852	-7927.09	-8178.512	251.4216	0.629882	0.8442152	7.036408
858	-7915.127	-8167.281	252.1546	0.5966204	0.8523292	6.66232
864	-7916.295	-8167.959	251.6637	0.6840171	0.8439044	6.866373
870	-7928.52	-8181.02	252.4995	0.778544	0.8381433	6.352906
876	-7919.995	-8172.265	252.2693	0.6730336	0.8106002	6.565132
882	-7928.179	-8180.139	251.9602	0.649541	0.7360413	6.789674
888	-7919.684	-8172.179	252.4945	0.5513384	0.8383216	6.522803
894	-7932.516	-8183.574	251.0577	0.511589	0.8341714	7.333324
900	-7929.68	-8182.704	253.024	0.7174539	0.861107	6.096436
906	-7920.002	-8173.179	253.1768	0.568886	0.9143112	6.096436
912	-7916.542	-8170.208	253.6659	0.649569	0.8773684	5.786216
918	-7911.023	-8164.206	253.1831	0.5969698	0.8599865	6.099886
924	-7909.85	-8161.75	251.8996	0.596611	0.8109325	6.82239
930	-7915.132	-8166.237	251.1045	0.5994022	0.795934	7.256253
936	-7925.671	-8177.85	252.1786	0.7226213	0.7912659	6.589657
942	-7923.669	-8176.511	252.842	0.7226213	0.8918877	6.17519
948	-7925.271	-8178.698	253.4271	0.6714548	0.8893982	5.893971
954	-7927.703	-8180.051	252.348	0.6133063	0.8335054	6.554886
960	-7935.281	-8188.567	253.2864	0.6133063	0.8474289	6.037603
966	-7931.535	-8185.741	254.2064	0.6445984	0.9027162	5.479485
972	-7933.431	-8184.954	251.5228	0.6113735	0.8281627	7.004696
978	-7928.481	-8180.425	251.9435	0.5370386	0.7808837	6.863635
984	-7925.26	-8176.265	251.0044	0.6745438	0.8450839	7.22737
990	-7930.733	-8182.511	251.7788	0.5468504	0.905852	6.876783
996	-7929.478	-8180.238	250.7601	0.6630752	0.7579559	7.413511
1002	-7920.85	-8173.923	253.0725	0.6047731	0.961715	6.098547
1008	-7925.894	-8177.167	251.2726	0.5805006	0.8901776	7.13023
1014	-7933.936	-8185.971	252.0351	0.6751595	0.876741	6.654495
1020	-7934.001	-8185.252	251.2513	0.5026107	0.7104208	7.303733
1026	-7940.593	-8192.03	251.4365	0.6387606	0.7853003	7.05344
1032	-7920.83	-8172.426	251.5964	0.6275382	0.7904086	6.973005
1038	-7922.652	-8174.341	251.6891	0.6275382	0.7197248	6.961189
1044	-7919.331	-8171.965	252.634	0.6275382	0.7667385	6.425176
1050	-7925.624	-8177.04	251.4161	0.5919434	0.8196268	7.081899
1056	-7925.484	-8177.652	252.168	0.5661031	0.8546787	6.678348
1062	-7926.531	-8178.853	252.322	0.6126274	0.8144147	6.579787
1068	-7916.685	-8168.902	252.2171	0.5964246	0.8407822	6.634954
1074	-7943.157	-8194.427	251.2705	0.597084	0.876668	7.125472
1080	-7925.783	-8177.332	251.5485	0.6446554	0.8056496	6.977751
1086	-7923.571	-8175.497	251.9259	0.5527932	0.8600207	6.817183
1092	-7917.387	-8169.993	252.6055	0.6755058	0.8694249	6.349239
1098	-7916.694	-8169.426	252.7312	0.5728865	0.9171478	6.333907
1104	-7912.65	-8164.469	251.8192	0.5363897	0.7942442	6.923958
1110	-7924.334	-8177.858	253.5235	0.5694295	0.9569531	5.88362
1116	-7925.356	-8177.591	252.2351	0.5832084	0.9992869	6.549989
1122	-7920.949	-8174.382	253.4333	0.698486	0.9312789	5.848146
1128	-7928.599	-8182.169	253.5703	0.6832927	0.8142183	5.848146
1134	-7928.168	-8181.411	253.2434	0.7205369	0.8815652	5.963524
1140	-7918.089	-8171.897	253.8089	0.539144	0.9948366	5.73222
1146	-7919.63	-8172.795	253.1656	0.5523644	0.8879829	6.130616
1152	-7923.978	-8175.717	251.7381	0.5523644	0.8067369	6.947541
1158	-7920.706	-8173.558	252.8526	0.7101069	0.7857477	6.235823
1164	-7931.361	-8182.738	251.3777	0.7105413	0.779213	7.036661
1170	-7927.623	-8179.027	251.4046	0.6144115	0.7454225	7.110499
1176	-7944.138	-8195.28	251.1418	0.6144115	0.7868645	7.229477
1182	-7928.02	-8179.256	251.2357	0.575781	0.74946	7.229477
1188	-7929.347	-8181.72	252.3728	0.6244116	0.8199129	6.540229
1194	-7928.381	-8180.545	252.1643	0.5842888	0.8858434	6.648763
1200	-7929.68	-8181.852	252.1721	0.5448843	0.7839373	6.731959
1206	-7929.82	-8181.995	252.1743	0.5159592	0.827646	6.731959
1212	-7939.55	-8190.323	250.7728	0.5891856	0.7893996	7.44575
1218	-7930.505	-8181.883	251.3775	0.5891856	0.9191736	7.051276
1224	-7929.41	-8181.3	251.8895	0.6089141	0.8856535	6.777897
1230	-7934.316	-8187.332	253.0169	0.5629461	0.8352665	6.231368
1236	-7921.438	-8173.844	252.4054	0.7032979	0.8352665	6.456434
1242	-7914.22	-8166.09	251.8707	0.5604991	0.9186377	6.80895
1248	-7923.907	-8175.801	251.8935	0.5303766	0.8053619	6.883026
